"Year","PWA_O3","Dataset","Pollutant"
1990,59.0399047436401,"CMAQ_1hr","O3"
1991,59.6574495176856,"CMAQ_1hr","O3"
1992,56.9202780361066,"CMAQ_1hr","O3"
1993,57.1509430851217,"CMAQ_1hr","O3"
1994,57.9250359675265,"CMAQ_1hr","O3"
1995,59.1571233865376,"CMAQ_1hr","O3"
1996,56.2677597216684,"CMAQ_1hr","O3"
1997,56.1219191963591,"CMAQ_1hr","O3"
1998,59.3806025852406,"CMAQ_1hr","O3"
1999,57.1980330722489,"CMAQ_1hr","O3"
2000,55.886082027947,"CMAQ_1hr","O3"
2001,56.5490811704423,"CMAQ_1hr","O3"
2002,55.793128583476,"CMAQ_1hr","O3"
2003,55.3223243318565,"CMAQ_1hr","O3"
2004,52.973451423261,"CMAQ_1hr","O3"
2005,56.2508016765988,"CMAQ_1hr","O3"
2006,55.0434442463845,"CMAQ_1hr","O3"
2007,55.5953718810253,"CMAQ_1hr","O3"
2008,53.7365686376006,"CMAQ_1hr","O3"
2009,52.1138197108098,"CMAQ_1hr","O3"
2010,54.2063022772645,"CMAQ_1hr","O3"
