"Year","PWA_O3","Dataset","Pollutant"
1990,52.9120425935898,"CMAQ_MDA8","O3"
1991,53.7478525842948,"CMAQ_MDA8","O3"
1992,50.573233239158,"CMAQ_MDA8","O3"
1993,51.6067394779313,"CMAQ_MDA8","O3"
1994,51.4893802079913,"CMAQ_MDA8","O3"
1995,52.5580041123608,"CMAQ_MDA8","O3"
1996,55.0764138921763,"CMAQ_MDA8","O3"
1997,50.3296757010342,"CMAQ_MDA8","O3"
1998,50.1343417230858,"CMAQ_MDA8","O3"
1999,48.1362585338128,"CMAQ_MDA8","O3"
2000,51.6538094349506,"CMAQ_MDA8","O3"
2001,49.4314129601177,"CMAQ_MDA8","O3"
2002,50.6204408757366,"CMAQ_MDA8","O3"
2003,45.9046302290573,"CMAQ_MDA8","O3"
2004,46.6237604988984,"CMAQ_MDA8","O3"
2005,49.7195441466764,"CMAQ_MDA8","O3"
2006,50.7566278072614,"CMAQ_MDA8","O3"
2007,50.9753977058878,"CMAQ_MDA8","O3"
2008,47.5275068249528,"CMAQ_MDA8","O3"
2009,44.7341398001389,"CMAQ_MDA8","O3"
2010,49.6860661859927,"CMAQ_MDA8","O3"
