"Year","PWA_PM25","Dataset","Pollutant"
1990,17.4570364718654,"EPA","PM25"
1991,17.2585088980212,"EPA","PM25"
1992,16.9156847483447,"EPA","PM25"
1993,16.1685967925404,"EPA","PM25"
1994,16.6624379934447,"EPA","PM25"
1995,15.4179843008163,"EPA","PM25"
1996,15.6380363233488,"EPA","PM25"
1997,14.9172552221324,"EPA","PM25"
1998,14.9654843518317,"EPA","PM25"
1999,15.1294594235858,"EPA","PM25"
2000,15.2354060676498,"EPA","PM25"
2001,14.8487562457715,"EPA","PM25"
2002,13.3699048406846,"EPA","PM25"
2003,13.6398525383211,"EPA","PM25"
2004,13.1229171258019,"EPA","PM25"
2005,13.1711606614035,"EPA","PM25"
2006,12.6449210318638,"EPA","PM25"
2007,13.0128804591805,"EPA","PM25"
2008,12.2835715786693,"EPA","PM25"
2009,10.9351964231575,"EPA","PM25"
2010,10.7332818992854,"EPA","PM25"
