"Year","PWA_PM25","Dataset","Pollutant"
2002,12.9033224058963,"FAQSD","PM25"
2003,12.6042919154566,"FAQSD","PM25"
2004,12.2409540088047,"FAQSD","PM25"
2005,12.8485059944345,"FAQSD","PM25"
2006,11.8794007671478,"FAQSD","PM25"
2007,11.9972904745726,"FAQSD","PM25"
2008,11.1217421263663,"FAQSD","PM25"
2009,10.0200277109647,"FAQSD","PM25"
2010,9.91237320743041,"FAQSD","PM25"
2011,9.9819507850098,"FAQSD","PM25"
2012,9.3178745703793,"FAQSD","PM25"
2013,9.13421111006964,"FAQSD","PM25"
2014,9.53284466828711,"FAQSD","PM25"
2015,9.08369614446863,"FAQSD","PM25"
2016,8.3023609199116,"FAQSD","PM25"
2017,8.5560261154329,"FAQSD","PM25"
