"Year","PWA_PM25","Dataset","Pollutant"
2000,11.7307492127932,"SAT","PM25"
2001,11.5409486163523,"SAT","PM25"
2002,11.4814908607649,"SAT","PM25"
2003,10.9809284876751,"SAT","PM25"
2004,10.6491427397254,"SAT","PM25"
2005,11.4112414074553,"SAT","PM25"
2006,10.365735113739,"SAT","PM25"
2007,10.8137409573009,"SAT","PM25"
2008,9.88850625508399,"SAT","PM25"
2009,9.05822277510051,"SAT","PM25"
2010,9.03854035731382,"SAT","PM25"
2011,9.29756876922949,"SAT","PM25"
2012,8.57430358677067,"SAT","PM25"
2013,8.34635803166868,"SAT","PM25"
2014,8.43737546258807,"SAT","PM25"
2015,7.93491486663193,"SAT","PM25"
2016,7.32439636472213,"SAT","PM25"
2017,7.55321124609778,"SAT","PM25"
2018,7.62223892952419,"SAT","PM25"
